All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
53,GPIO33,,GPIO33,I2CA_SCL,,SPIB_STE,GPIO33,OUTPUTXBAR4,LINA_RX,SD1_C2,GPIO33,FSIRXA_CLK,CANA_RX,EQEP2_B,GPIO33,ADCSOCAO,SD1_C1,HIC_D0
54,GPIO16,,GPIO16,SPIA_SIMO,,OUTPUTXBAR7,GPIO16,EPWM5_A,SCIA_TX,SD1_D1,GPIO16,EQEP1_STROBE,PMBUSA_SCL,XCLKOUT,GPIO16,EQEP2_B,SPIB_SOMI,HIC_D1
55,GPIO17,,GPIO17,SPIA_SOMI,,OUTPUTXBAR8,GPIO17,EPWM5_B,SCIA_RX,SD1_C1,GPIO17,EQEP1_INDEX,PMBUSA_SDA,CANA_TX,GPIO17,,,HIC_D2
56,GPIO24,,GPIO24,OUTPUTXBAR1,EQEP2_A,,GPIO24,EPWM8_A,SPIB_SIMO,SD2_D1,GPIO24,LINB_TX,PMBUSA_SCL,SCIA_TX,GPIO24,ERRORSTS,,HIC_D3
57,GPIO25,,GPIO25,OUTPUTXBAR2,EQEP2_B,,GPIO25,EQEP1_A,SPIB_SOMI,SD2_C1,GPIO25,FSITXA_D1,PMBUSA_SDA,SCIA_RX,GPIO25,,HIC_BASESEL0,
58,GPIO26,,GPIO26,OUTPUTXBAR3,EQEP2_INDEX,,GPIO26,OUTPUTXBAR3,SPIB_CLK,SD2_D2,GPIO26,FSITXA_D0,PMBUSA_CTL,I2CA_SDA,GPIO26,,HIC_D0,HIC_A1
59,GPIO27,,GPIO27,OUTPUTXBAR4,EQEP2_STROBE,,GPIO27,OUTPUTXBAR4,SPIB_STE,SD2_C2,GPIO27,FSITXA_CLK,PMBUSA_ALERT,I2CA_SCL,GPIO27,,HIC_D1,HIC_A4
60,TCK,TCK
61,GPIO37/TDO,,GPIO37,OUTPUTXBAR2,,I2CA_SCL,GPIO37,SCIA_TX,CANA_TX,LINA_TX,GPIO37,EQEP1_B,PMBUSA_ALERT,,GPIO37,,HIC_NRDY,TDO
62,TMS,TMS
63,GPIO35/TDI,,GPIO35,SCIA_RX,,I2CA_SDA,GPIO35,CANA_RX,PMBUSA_SCL,LINA_RX,GPIO35,EQEP1_A,PMBUSA_CTL,EPWM5_B,GPIO35,SD2_C1,HIC_NWE,TDI
64,GPIO32,,GPIO32,I2CA_SDA,,SPIB_CLK,GPIO32,EPWM8_B,LINA_TX,SD1_D2,GPIO32,FSIRXA_D0,CANA_TX,PMBUSA_SDA,GPIO32,ADCSOCBO,,HIC_INT
65,GPIO56,,GPIO56,SPIA_CLK,CLB_OUTPUTXBAR7,MCAN_TX,GPIO56,EQEP2_STROBE,SCIB_TX,SD2_D1,GPIO56,SPIB_SIMO,I2CA_SDA,EQEP1_A,GPIO56,SD1_C4,FSIRXA_D1,HIC_D6
66,GPIO57,,GPIO57,SPIA_STE,CLB_OUTPUTXBAR8,MCAN_RX,GPIO57,EQEP2_INDEX,SCIB_RX,SD2_C1,GPIO57,SPIB_SOMI,I2CA_SCL,EQEP1_B,GPIO57,,FSIRXA_CLK,HIC_D4
67,GPIO58,,GPIO58,,,,GPIO58,OUTPUTXBAR1,SPIB_CLK,SD2_D2,GPIO58,LINA_TX,CANA_TX,EQEP1_STROBE,GPIO58,SD2_C2,FSIRXA_D0,HIC_NRDY
68,GPIO18/ X2,,GPIO18,SPIA_CLK,SCIB_TX,CANA_RX,GPIO18,EPWM6_A,I2CA_SCL,SD1_D2,GPIO18,EQEP2_A,PMBUSA_CTL,XCLKOUT,GPIO18,LINB_TX,FSITXA_TDM_CLK,HIC_INT
69,GPIO19/ X1,,GPIO19,SPIA_STE,SCIB_RX,CANA_TX,GPIO19,EPWM6_B,I2CA_SDA,SD1_C2,GPIO19,EQEP2_B,PMBUSA_ALERT,CLB_OUTPUTXBAR1,GPIO19,LINB_RX,FSITXA_TDM_D0,HIC_NBE0
70,VDDIO,VDDIO
71,VDD,VDD
72,VSS,VSS
73,VREGENZ,VREGENZ
74,GPIO8,,GPIO8,EPWM5_A,,ADCSOCAO,GPIO8,EQEP1_STROBE,SCIA_TX,SPIA_SIMO,GPIO8,I2CA_SCL,FSITXA_D1,CLB_OUTPUTXBAR5,GPIO8,HIC_A0,FSITXA_TDM_CLK,HIC_D8
75,GPIO4,,GPIO4,EPWM3_A,,MCAN_TX,GPIO4,OUTPUTXBAR3,CANA_TX,SPIB_CLK,GPIO4,EQEP2_STROBE,FSIRXA_CLK,CLB_OUTPUTXBAR6,GPIO4,HIC_BASESEL2,,HIC_NWE
76,GPIO3,EPWM2_B,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,PMBUSA_SCL,SPIA_CLK,GPIO3,SCIA_RX,FSIRXA_D0,I2CB_SCL,GPIO3,HIC_NOE,CANA_RX,HIC_D4
77,GPIO2,EPWM2_A,GPIO2,EPWM2_A,EMU1,,GPIO2,OUTPUTXBAR1,PMBUSA_SDA,SPIA_SIMO,GPIO2,SCIA_TX,FSIRXA_D1,I2CB_SDA,GPIO2,HIC_A1,CANA_TX,HIC_D9
78,GPIO1,EPWM1_B,GPIO1,EPWM1_B,EMU0,,GPIO1,,I2CA_SCL,SPIA_SOMI,GPIO1,,MCAN_TX,CLB_OUTPUTXBAR7,GPIO1,HIC_A2,FSITXA_TDM_D1,HIC_D10
79,GPIO0,EPWM1_A,GPIO0,EPWM1_A,,,GPIO0,,I2CA_SDA,SPIA_STE,GPIO0,FSIRXA_CLK,MCAN_RX,CLB_OUTPUTXBAR8,GPIO0,EQEP1_INDEX,HIC_D7,HIC_BASESEL1
80,GPIO40,,GPIO40,SPIB_SIMO,,EMU0,GPIO40,EPWM2_B,PMBUSA_SDA,FSIRXA_D0,GPIO40,SCIB_TX,EQEP1_A,LINB_TX,GPIO40,,HIC_NBE1,HIC_D5
81,GPIO23,EPWM4_B,GPIO23,EQEP1_INDEX,,SCIB_RX,GPIO23,,SPIB_STE,SD1_C4,GPIO23,LINA_RX,CLB_OUTPUTXBAR3,LINB_RX,GPIO23,HIC_A3,EPWM4_B,HIC_D11
82,GPIO41,,GPIO41,,,EMU1,GPIO41,EPWM2_A,PMBUSA_SCL,FSIRXA_D1,GPIO41,SCIB_RX,EQEP1_B,LINB_RX,GPIO41,HIC_A4,SPIB_SOMI,HIC_D12
83,GPIO22,GPIO22,GPIO22,EQEP1_STROBE,,SCIB_TX,GPIO22,,SPIB_CLK,SD1_D4,GPIO22,LINA_TX,CLB_OUTPUTXBAR1,LINB_TX,GPIO22,HIC_A5,EPWM4_A,HIC_D13
84,GPIO7,,GPIO7,EPWM4_B,,OUTPUTXBAR5,GPIO7,EQEP1_B,,SPIB_SIMO,GPIO7,FSITXA_CLK,CLB_OUTPUTXBAR2,,GPIO7,HIC_A6,,HIC_D14
